R-HSA-70460,PR:000041555
R-HSA-68549,PR:000041562
R-HSA-57600,PR:000041631
R-HSA-55899,PR:000041780
R-HSA-71785,PR:000042034
R-HSA-167428,PR:000042236
R-HSA-71517,PR:000042440
R-HSA-114662,PR:000043586
R-HSA-6787702,PR:000043595
R-HSA-68370,PR:000043632
R-HSA-167992,PR:000043816
R-HSA-158327,PR:000043993
R-HSA-507830,PR:000044063
R-HSA-77264,PR:000044195
R-HSA-197948,PR:000044351
R-HSA-422043,PR:000044481
R-HSA-447245,PR:000044521
R-HSA-447212,PR:000044522
R-HSA-447181,PR:000044523
R-HSA-447175,PR:000044527
R-HSA-184199,PR:000044752
R-HSA-184201,PR:000044753
R-HSA-69966,PR:000044835
R-HSA-5683942,PR:000045020
R-HSA-75170,PR:000045022
R-HSA-3364016,PR:000045028
R-HSA-3364025,PR:000045050
R-HSA-3364021,PR:000045061
R-HSA-3364017,PR:000045072
R-HSA-3364019,PR:000045083
R-HSA-3364013,PR:000045094
R-HSA-3364027,PR:000045105
R-HSA-3364012,PR:000045116
R-HSA-3364033,PR:000045127
R-HSA-3364018,PR:000045138
R-HSA-3364030,PR:000045160
R-HSA-3364028,PR:000045171
R-HSA-936418,PR:000045489
R-HSA-8936343,PR:000045509
R-HSA-5685241,PR:000045544
R-HSA-2574832,PR:000045573
R-HSA-198615,PR:000045576
R-HSA-182950,PR:000045591
R-HSA-75237,PR:000045603
R-HSA-1497782,PR:000045761
R-HSA-432222,PR:000045775
R-HSA-2197668,PR:000045784
R-HSA-198352,PR:000045808
R-HSA-507939,PR:000045818
R-HSA-1475426,PR:000045874
R-HSA-8868564,PR:000045885
R-HSA-1362251,PR:000045966
R-HSA-8873930,PR:000046100
R-HSA-6801075,PR:000046212
R-HSA-139834,PR:000046213
R-HSA-70943,PR:000046214
R-HSA-70924,PR:000046215
R-HSA-5682085,PR:000046216
R-HSA-1369015,PR:000046217
R-HSA-1368993,PR:000046218
R-HSA-1369004,PR:000046219
R-HSA-448770,PR:000046220
R-HSA-1456459,PR:000046221
R-HSA-5694577,PR:000046222
R-HSA-1671643,PR:000046223
R-HSA-2029034,PR:000046224
R-HSA-2029003,PR:000046225
R-HSA-5686576,PR:000046226
R-HSA-390238,PR:000046227
R-HSA-2976730,PR:000046228
R-HSA-2993858,PR:000046229
R-HSA-70855,PR:000046231
R-HSA-49489,PR:000046232
R-HSA-49491,PR:000046233
R-HSA-49493,PR:000046234
R-HSA-49495,PR:000046235
R-HSA-2046287,PR:000046236
R-HSA-508496,PR:000046237
R-HSA-2022344,PR:000046238
R-HSA-1524050,PR:000046239
R-HSA-70968,PR:000046240
R-HSA-2066771,PR:000046241
R-HSA-5690054,PR:000046242
R-HSA-5690069,PR:000046243
R-HSA-196938,PR:000046244
R-HSA-1297346,PR:000046245
R-HSA-5696005,PR:000046246
R-HSA-5696011,PR:000046247
R-HSA-177123,PR:000046248
R-HSA-3907281,PR:000046249
R-HSA-159442,PR:000046250
R-HSA-3907282,PR:000046251
R-HSA-3907285,PR:000046252
R-HSA-449914,PR:000046253
R-HSA-2980912,PR:000046254
R-HSA-200811,PR:000046255
R-HSA-205867,PR:000046256
R-HSA-205780,PR:000046257
R-HSA-201659,PR:000046258
R-HSA-201656,PR:000046259
R-HSA-5433075,PR:000046260
R-HSA-49701,PR:000046261
R-HSA-6799563,PR:000046262
R-HSA-708336,PR:000046263
R-HSA-5173208,PR:000046264
R-HSA-5173091,PR:000046265
R-HSA-5173176,PR:000046266
R-HSA-5173123,PR:000046267
R-HSA-187664,PR:000046268
R-HSA-420043,PR:000046269
R-HSA-5226994,PR:000046270
R-HSA-71692,PR:000046271
R-HSA-71695,PR:000046272
R-HSA-71700,PR:000046273
R-HSA-71713,PR:000046274
R-HSA-1183052,PR:000046275
R-HSA-5696062,PR:000046276
R-HSA-8852158,PR:000046277
R-HSA-6783066,PR:000046278
R-HSA-111969,PR:000046279
R-HSA-5665939,PR:000046280
R-HSA-5082342,PR:000046281
R-HSA-197639,PR:000046282
R-HSA-5696027,PR:000046283
